RESULT_DATE,PLAYER_NAME,PLAYER_TYPE,OPPONENT,PA,AB,H,R,RBI,HR,BB,HBP,SO,SB,DOUBLES,TRIPLES,SINGLES,TOTAL_BASES,H_PLUS_R_PLUS_RBI,HITTER_FANTASY_PP,SOURCE_FILE,IP,OUTS,K,ER,HITS_ALLOWED,HR_ALLOWED,PITCHES,WIN,QUALITY_START,PITCHER_FANTASY_PP
2026-07-10,ROMY GONZALEZ,HITTER,NYM,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ROYCE LEWIS,HITTER,LAA,4.0,4.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,RYAN JEFFERS,HITTER,LAA,5.0,4.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,RYAN KREIDLER,HITTER,LAA,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,RYAN MCMAHON,HITTER,WSH,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,RYAN O'HEARN,HITTER,MIL,4.0,3.0,0.0,0.0,0.0,0.0,0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,RYAN WALDSCHMIDT,HITTER,LAD,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SAL FRELICK,HITTER,PIT,4.0,4.0,1.0,1.0,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,16.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SAL STEWART,HITTER,CHC,4.0,3.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,8.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SALVADOR PEREZ,HITTER,BAL,4.0,4.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SAM ANTONACCI,HITTER,ATH,5.0,4.0,1.0,1.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,14.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SAMUEL BASALLO,HITTER,KC,4.0,4.0,1.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,16.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SEIYA SUZUKI,HITTER,CIN,4.0,4.0,2.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,8.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
