Name,Date,Tm,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Brice Turang,"Jul 10, 2026",MIL,PIT,1,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,668930
Luis Lara,"Jul 10, 2026",MIL,PIT,1,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,800325
Brandon Lowe,"Jul 10, 2026",PIT,MIL,1,4,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,664040
Bryan Reynolds,"Jul 10, 2026",PIT,MIL,1,4,3,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,,,,,668804
Esmerlyn Valdez,"Jul 10, 2026",PIT,MIL,1,4,4,2,3,0,0,2,6,0,0,1,0,0,0,0,0,0,,,,,699013
Jared Triolo,"Jul 10, 2026",PIT,MIL,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,,,669707
Jake Mangum,"Jul 10, 2026",PIT,MIL,1,4,3,2,1,0,0,0,0,0,0,0,1,0,0,2,0,1,,,,,663968
Henry Davis,"Jul 10, 2026",PIT,MIL,1,4,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,,,,,680779
Tyler Callihan,"Jul 10, 2026",PIT,MIL,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,682997
Ryan O'Hearn,"Jul 10, 2026",PIT,MIL,1,4,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,,,,,656811
Nick Gonzales,"Jul 10, 2026",PIT,MIL,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,,,,,693304
