PLAYER_NAME,BAT_DATE,BAT_TM,BAT_OPP,BAT_G,BAT_PA,BAT_AB,BAT_R,BAT_H,BAT_2B,BAT_3B,BAT_HR,BAT_RBI,BAT_BB,BAT_IBB,BAT_SO,BAT_HBP,BAT_SH,BAT_SF,BAT_GDP,BAT_SB,BAT_CS,BAT_BA,BAT_OBP,BAT_SLG,BAT_OPS,BAT_MLBID,BAT_TB,BAT_H_R_RBI,BAT_HITTER_FANTASY_EST,PIT_DATE,PIT_TM,PIT_OPP,PIT_G,PIT_GS,PIT_W,PIT_L,PIT_SV,PIT_IP,PIT_H,PIT_R,PIT_ER,PIT_BB,PIT_SO,PIT_HR,PIT_HBP,PIT_ERA,PIT_BF,PIT_PIT,PIT_STR,PIT_WHIP,PIT_MLBID,PIT_K_PER_IP,SC_AVG_EXIT_VELO,SC_AVG_LAUNCH_ANGLE,SC_XBA,SC_XSLG,SC_HARD_HIT_RATE,SC_BARREL_RATE_EST,LAST_HIT_RESULT_DATE,LAST_HIT_OPPONENT,LAST_HIT_PA,LAST_HIT_AB,LAST_HIT_H,LAST_HIT_R,LAST_HIT_RBI,LAST_HIT_HR,LAST_HIT_BB,LAST_HIT_HBP,LAST_HIT_SO,LAST_HIT_SB,LAST_HIT_SINGLES,LAST_HIT_DOUBLES,LAST_HIT_TRIPLES,LAST_HIT_TOTAL_BASES,LAST_HIT_H_PLUS_R_PLUS_RBI,LAST_HIT_HITTER_FANTASY_PP,LAST_PIT_RESULT_DATE,LAST_PIT_OPPONENT,LAST_PIT_IP,LAST_PIT_OUTS,LAST_PIT_K,LAST_PIT_ER,LAST_PIT_BB,LAST_PIT_HITS_ALLOWED,LAST_PIT_HR_ALLOWED,LAST_PIT_PITCHES,LAST_PIT_WIN,LAST_PIT_QUALITY_START,LAST_PIT_PITCHER_FANTASY_PP
DOMINIC CANZONE,"Jul 10, 2026",SEA,TB,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,686527.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,84.94242424242424,6.090909090909091,0.2657916666666666,0.5404583333333334,0.091743119266055,0.0091743119266055,2026-07-10,TB,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,
DOMINIC SMITH,"Jul 10, 2026",ATL,STL,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,642086.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.04102564102564,6.384615384615385,0.2134347826086956,0.2972608695652173,0.0714285714285714,0.0,2026-07-10,STL,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
DRAKE BALDWIN,"Jul 10, 2026",ATL,STL,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,686948.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.45892857142857,21.789473684210527,0.30234375,0.5175000000000001,0.1176470588235294,0.0176470588235294,2026-07-10,STL,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
DREW CAVANAUGH,"Jul 10, 2026",SF,COL,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,701852.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,76.83666666666666,18.566666666666663,0.3173076923076923,0.5373846153846153,0.0235294117647058,0.0,2026-07-10,COL,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,
DREW GILBERT,"Jul 10, 2026",SF,COL,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,687551.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,77.61,14.766666666666667,0.2806428571428571,0.3703571428571428,0.0694444444444444,0.0,2026-07-10,COL,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,,,,,,,,,,,,,
DREW SOMMERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",DET,PHI,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.0,1.0,,805427.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,PHI,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DREY JAMESON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",AZ,LAD,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,13.0,9.0,,686753.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,LAD,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
DYLAN BEAVERS,"Jul 10, 2026",BAL,KC,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,687637.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,85.41428571428571,37.5,0.2277,0.3827,0.0444444444444444,0.0,2026-07-10,KC,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,,,,,,,,,,,,,
DYLAN CREWS,"Jul 10, 2026",WSH,NYY,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,686611.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,83.7625,16.275,0.2977058823529411,0.5492941176470589,0.0763358778625954,0.0076335877862595,2026-07-10,NYY,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
DYLAN SMITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",SF,COL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,15.0,10.0,,681916.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,COL,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
