PLAYER_NAME,BAT_DATE,BAT_TM,BAT_OPP,BAT_G,BAT_PA,BAT_AB,BAT_R,BAT_H,BAT_2B,BAT_3B,BAT_HR,BAT_RBI,BAT_BB,BAT_IBB,BAT_SO,BAT_HBP,BAT_SH,BAT_SF,BAT_GDP,BAT_SB,BAT_CS,BAT_BA,BAT_OBP,BAT_SLG,BAT_OPS,BAT_MLBID,BAT_TB,BAT_H_R_RBI,BAT_HITTER_FANTASY_EST,PIT_DATE,PIT_TM,PIT_OPP,PIT_G,PIT_GS,PIT_W,PIT_L,PIT_SV,PIT_IP,PIT_H,PIT_R,PIT_ER,PIT_BB,PIT_SO,PIT_HR,PIT_HBP,PIT_ERA,PIT_BF,PIT_PIT,PIT_STR,PIT_WHIP,PIT_MLBID,PIT_K_PER_IP,SC_AVG_EXIT_VELO,SC_AVG_LAUNCH_ANGLE,SC_XBA,SC_XSLG,SC_HARD_HIT_RATE,SC_BARREL_RATE_EST,LAST_HIT_RESULT_DATE,LAST_HIT_OPPONENT,LAST_HIT_PA,LAST_HIT_AB,LAST_HIT_H,LAST_HIT_R,LAST_HIT_RBI,LAST_HIT_HR,LAST_HIT_BB,LAST_HIT_HBP,LAST_HIT_SO,LAST_HIT_SB,LAST_HIT_SINGLES,LAST_HIT_DOUBLES,LAST_HIT_TRIPLES,LAST_HIT_TOTAL_BASES,LAST_HIT_H_PLUS_R_PLUS_RBI,LAST_HIT_HITTER_FANTASY_PP,LAST_PIT_RESULT_DATE,LAST_PIT_OPPONENT,LAST_PIT_IP,LAST_PIT_OUTS,LAST_PIT_K,LAST_PIT_ER,LAST_PIT_BB,LAST_PIT_HITS_ALLOWED,LAST_PIT_HR_ALLOWED,LAST_PIT_PITCHES,LAST_PIT_WIN,LAST_PIT_QUALITY_START,LAST_PIT_PITCHER_FANTASY_PP
FRANCISCO ALVAREZ,"Jul 10, 2026",NYM,BOS,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,682626.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,81.19722222222222,10.77777777777778,0.2462105263157894,0.3076315789473684,0.0707964601769911,0.0088495575221238,2026-07-10,BOS,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
FRANCISCO LINDOR,"Jul 10, 2026",NYM,BOS,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,596019.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,87.36666666666667,11.69767441860465,0.3654814814814815,0.5877407407407408,0.1357142857142857,0.0071428571428571,2026-07-10,BOS,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,
FREDDIE FREEMAN,"Jul 10, 2026",LAD,AZ,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,518692.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,85.73,20.08,0.32125,0.5453928571428571,0.0962962962962963,0.0,2026-07-10,AZ,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
GABRIEL MORENO,"Jul 10, 2026",AZ,LAD,1.0,5.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,672515.0,2.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,81.35892857142858,19.821428571428573,0.3395333333333333,0.3997333333333334,0.0652173913043478,0.0,2026-07-10,LAD,5.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,12.0,,,,,,,,,,,,,
GABRIEL RINCONES JR.,"Jul 10, 2026",PHI,DET,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,687282.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.46285714285712,19.428571428571427,0.3541333333333333,0.6732666666666667,0.1130434782608695,0.008695652173913,2026-07-10,DET,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
GARRETT CLEAVINGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",TB,SEA,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,4.0,15.0,11.0,,664076.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,SEA,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
GARRETT MITCHELL,"Jul 10, 2026",MIL,PIT,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,669003.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,90.8342105263158,9.210526315789474,0.5650384615384616,1.1115384615384616,0.1285714285714285,0.0142857142857142,2026-07-10,PIT,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,9.0,,,,,,,,,,,,,
GARRETT STUBBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",PHI,DET,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,4.0,,596117.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,DET,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
GARRETT WHITLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",BOS,NYM,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,14.0,8.0,,676477.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,NYM,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
GAVIN SHEETS,"Jul 10, 2026",SD,TOR,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,657757.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,77.64406779661017,12.745762711864408,0.283448275862069,0.3163103448275862,0.0523560209424083,0.0,2026-07-10,TOR,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
GEORGE SORIANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",STL,ATL,1.0,0.0,0.0,0.0,0.0,1.1,2.0,1.0,1.0,0.0,1.0,0.0,0.0,,6.0,23.0,15.0,,666277.0,0.9090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,ATL,1.1,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
GEORGE SPRINGER,"Jul 10, 2026",TOR,SD,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,543807.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,82.35000000000001,11.714285714285714,0.3878333333333333,0.6675,0.0681818181818181,0.0,2026-07-10,SD,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,
GERALDO PERDOMO,"Jul 10, 2026",AZ,LAD,1.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,672695.0,0.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,84.45593220338982,23.06779661016949,0.2508709677419355,0.338258064516129,0.0728476821192053,0.0066225165562913,2026-07-10,LAD,5.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,,,,,,
GRANT MCCRAY,"Jul 10, 2026",SF,COL,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,687529.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,76.75,23.0,0.123,0.134,0.0,0.0,2026-07-10,COL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,,,,,,,,,,,,,
GRAYSON RODRIGUEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",LAA,MIN,1.0,1.0,1.0,0.0,0.0,5.1,6.0,3.0,3.0,1.0,0.0,0.0,1.0,,23.0,79.0,50.0,,680570.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,MIN,5.1,16.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,13.0
GREG WEISSERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",BOS,NYM,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,4.0,11.0,7.0,,669711.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,NYM,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
GREGORY SOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",PIT,MIL,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,5.0,20.0,10.0,,642397.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,MIL,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
GRIFFIN CONINE,"Jul 10, 2026",MIA,CLE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,665052.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,83.07272727272728,19.424242424242426,0.3506153846153846,0.5163076923076922,0.0818181818181818,0.0,2026-07-10,CLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
GUNNAR HENDERSON,"Jul 10, 2026",BAL,KC,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,683002.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,85.84347826086957,16.5,0.3738461538461539,0.4468076923076923,0.1240310077519379,0.0,2026-07-10,KC,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,,,,,,,,,,,,,
HELIOT RAMOS,"Jul 10, 2026",SF,COL,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,671218.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.93265306122449,18.428571428571427,0.449074074074074,0.972925925925926,0.1132075471698113,0.0251572327044025,2026-07-10,COL,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
HENRY BOLTE,"Jul 10, 2026",ATH,CWS,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,703607.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,84.44285714285714,7.114285714285714,0.2942380952380952,0.523952380952381,0.0952380952380952,0.0,2026-07-10,CWS,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
HENRY DAVIS,"Jul 10, 2026",PIT,MIL,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,680779.0,0.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,76.44782608695652,17.956521739130434,0.1583636363636363,0.2342727272727272,0.0833333333333333,0.0,2026-07-10,MIL,4.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,,,,,,,,,,,,,
HERIBERTO HERNÁNDEZ,"Jul 10, 2026",MIA,CLE,1.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,681715.0,4.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,86.2421052631579,16.31578947368421,0.4286818181818182,1.1407272727272728,0.1293103448275862,0.0258620689655172,2026-07-10,CLE,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,16.0,,,,,,,,,,,,,
HUNTER BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",HOU,TEX,1.0,1.0,0.0,0.0,0.0,6.0,4.0,3.0,3.0,5.0,4.0,1.0,0.0,,25.0,98.0,55.0,,686613.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,TEX,6.0,18.0,4.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,25.0
HUNTER FEDUCCIA,"Jul 10, 2026",TB,SEA,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,676439.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,88.3,16.761904761904763,0.3634285714285714,0.5569285714285714,0.106060606060606,0.0151515151515151,2026-07-10,SEA,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,
HUNTER GADDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",CLE,MIA,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,15.0,14.0,,683769.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,MIA,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
HUNTER GOODMAN,"Jul 10, 2026",COL,SF,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,696100.0,0.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,85.7125,20.325,0.4092941176470588,0.5290588235294118,0.072992700729927,0.0,2026-07-10,SF,5.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,,,,,,,,,,,,,
HUNTER GREENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",CIN,CHC,1.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,1.0,12.0,0.0,0.0,,25.0,93.0,68.0,,668881.0,1.7142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,CHC,7.0,21.0,12.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,67.0
IAN HAPP,"Jul 10, 2026",CHC,CIN,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,664023.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,83.27567567567567,17.08108108108108,0.3082105263157895,0.4242631578947368,0.0827067669172932,0.0,2026-07-10,CIN,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,
ILDEMARO VARGAS,"Jul 10, 2026",AZ,LAD,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,545121.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,84.98571428571428,6.892857142857143,0.32545,0.37415,0.1348314606741573,0.0,2026-07-10,LAD,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,
ISAAC COLLINS,"Jul 10, 2026",KC,BAL,1.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,686555.0,4.0,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,82.65263157894738,22.435897435897434,0.3506111111111111,0.645,0.0990990990990991,0.009009009009009,2026-07-10,BAL,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,17.0,,,,,,,,,,,,,
ISAAC PAREDES,"Jul 10, 2026",HOU,TEX,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,670623.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,82.7578947368421,17.859649122807017,0.3368461538461538,0.4778461538461538,0.0928571428571428,0.0,2026-07-10,TEX,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
IVÁN HERRERA,"Jul 10, 2026",STL,ATL,1.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,671056.0,0.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,84.46417910447762,19.34328358208955,0.2848333333333333,0.3838999999999999,0.087431693989071,0.0,2026-07-10,ATL,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,
J.P. CRAWFORD,"Jul 10, 2026",SEA,TB,1.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,641487.0,2.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,81.65777777777778,13.022222222222222,0.3573157894736842,0.4620526315789474,0.0470588235294117,0.0,2026-07-10,TB,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,10.0,,,,,,,,,,,,,
JAC CAGLIANONE,"Jul 10, 2026",KC,BAL,1.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,695506.0,4.0,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,84.72500000000001,4.291666666666667,0.3041724137931034,0.4649655172413793,0.136,0.0,2026-07-10,BAL,4.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,17.0,,,,,,,,,,,,,
JACK DREYER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",LAD,AZ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,14.0,11.0,,676263.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,AZ,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
JACK FLAHERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",DET,PHI,1.0,1.0,1.0,0.0,0.0,6.0,2.0,2.0,2.0,3.0,6.0,1.0,1.0,,24.0,86.0,54.0,,656427.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,PHI,6.0,18.0,6.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,40.0
JACKSON CHOURIO,"Jul 10, 2026",MIL,PIT,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,694192.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.76833333333335,10.65,0.2684516129032258,0.5221290322580645,0.0862068965517241,0.0,2026-07-10,PIT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
JACKSON HOLLIDAY,"Jul 10, 2026",BAL,KC,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,702616.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,78.15416666666667,16.333333333333332,0.4202142857142857,0.4997857142857143,0.0303030303030303,0.0,2026-07-10,KC,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,,,,,,,,,,,,,
JACKSON MERRILL,"Jul 10, 2026",SD,TOR,1.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,701538.0,0.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,82.24657534246575,16.246575342465754,0.3582592592592593,0.528,0.0804597701149425,0.0057471264367816,2026-07-10,TOR,5.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,,,,,,
JACOB LOPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",ATH,CWS,1.0,1.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,5.0,12.0,10.0,,682052.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,CWS,1.2,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
JACOB WAGUESPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",DET,PHI,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,16.0,11.0,,621097.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,PHI,0.2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
JACOB WILSON,"Jul 10, 2026",ATH,CWS,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,805779.0,0.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,79.21304347826087,7.041666666666667,0.3451666666666667,0.41425,0.05,0.0,2026-07-10,CWS,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,
JACOB YOUNG,"Jul 10, 2026",WSH,NYY,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,696285.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,85.56923076923077,6.076923076923077,0.2873333333333333,0.3953333333333333,0.0491803278688524,0.0,2026-07-10,NYY,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,,,,,,,,,,,,,
JAKE BAUERS,"Jul 10, 2026",MIL,PIT,1.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,641343.0,4.0,4.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,85.61399999999999,20.4,0.42372,0.7426,0.0898876404494382,0.0,2026-07-10,PIT,4.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,18.0,,,,,,,,,,,,,
JAKE BIRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",NYY,WSH,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,6.0,4.0,,656234.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,WSH,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
JAKE BURGER,"Jul 10, 2026",TEX,HOU,1.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,669394.0,4.0,6.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,83.66944444444444,19.38888888888889,0.25325,0.6223,0.11,0.01,2026-07-10,HOU,4.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,20.0,,,,,,,,,,,,,
JAKE CRONENWORTH,"Jul 10, 2026",SD,TOR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,630105.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,84.83333333333333,13.076923076923077,0.3517826086956522,0.6164782608695653,0.08,0.008,2026-07-10,TOR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
JAKE MANGUM,"Jul 10, 2026",PIT,MIL,1.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,,,,,663968.0,0.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,79.44366197183099,17.408450704225352,0.3573103448275862,0.4834137931034483,0.065359477124183,0.0,2026-07-10,MIL,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,,,,,,
JAKE MCCARTHY,"Jul 10, 2026",COL,SF,1.0,5.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,664983.0,2.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,77.22222222222223,9.314814814814817,0.3361666666666666,0.6311,0.0699300699300699,0.0139860139860139,2026-07-10,SF,5.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,14.0,,,,,,,,,,,,,
