match_id,name,status,begin_at,end_at,number_of_games,match_type,league_id,league,serie_id,serie,tournament_id,tournament,team1_id,team1,team2_id,team2,winner_id,winner
1504723,Round 3: URSA vs TNC,canceled,,,3,best_of,5232,CCT Europe,10637,Series #3 2026,21095,Group Stage,136900,Ursa,137416,TNC,137416.0,TNC
1504717,Round 3: RBLS vs RE,canceled,,,3,best_of,5232,CCT Europe,10637,Series #3 2026,21095,Group Stage,134251,Rebels Gaming,132927,Rune Eaters,134251.0,Rebels Gaming
1504713,Round 2: URSA vs ORM,canceled,,,3,best_of,5232,CCT Europe,10637,Series #3 2026,21095,Group Stage,136900,Ursa,137458,Oramond,136900.0,Ursa
1504697,DC vs MISA,canceled,,,3,best_of,4854,European Pro League,10636,Series 7 Closed Qualifier 2026,21094,Play-In,138742,DragonClaw,137075,Misa Esports,137075.0,Misa Esports
1504689,Winners match: TNC vs YN,canceled,,,3,best_of,4854,European Pro League,10636,Series 7 Closed Qualifier 2026,21092,Group C,137416,TNC,128327,Young Ninjas,128327.0,Young Ninjas
1504679,G1 vs BL,canceled,,,3,best_of,4854,European Pro League,10636,Series 7 Closed Qualifier 2026,21090,Group A,128519,GenOne,132679,brazylijski luz,132679.0,brazylijski luz
1504060,100T vs Matrix,canceled,,,1,best_of,5498,Parken Challenger Championship,10635,Season 8 2026,21087,Group A,126452,100 Thieves,138296,Matrix,126452.0,100 Thieves
1504056,FOR vs Matrix,canceled,,,1,best_of,5498,Parken Challenger Championship,10635,Season 8 2026,21087,Group A,137953,Fortress,138296,Matrix,137953.0,Fortress
1504052,XCLAN vs Matrix,canceled,,,1,best_of,5498,Parken Challenger Championship,10635,Season 8 2026,21087,Group A,138712,XCLAN,138296,Matrix,138712.0,XCLAN
1504046,Matrix vs S-B,canceled,,,1,best_of,5498,Parken Challenger Championship,10635,Season 8 2026,21087,Group A,138296,Matrix,137589,Strael-Bora,137589.0,Strael-Bora
